"No.","Time","Source","Destination","Protocol","Length","Info"
"683","24.044645913","172.16.0.58","172.16.0.59","SCTP","78","DATA (TSN=24) (retransmission) "
"684","24.045013052","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=24, Arwnd=106496) DATA (TSN=24) "
"685","24.045013206","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=24, Arwnd=106496) DATA (TSN=24) (retransmission) "
"686","24.248490922","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=24, Arwnd=106496) "
"687","24.248491133","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=24, Arwnd=106496) "
"688","24.294990766","172.16.0.59","172.16.0.58","SCTP","82","DATA (TSN=24) "
"689","24.294991007","172.16.0.59","172.16.0.58","SCTP","82","DATA (TSN=24) (retransmission) "
"690","24.295387293","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=24, Arwnd=106496) DATA (TSN=24) "
"691","24.295387427","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=24, Arwnd=106496) DATA (TSN=24) (retransmission) "
"692","24.381024186","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"693","24.381024397","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"694","24.390467467","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"695","24.390467649","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"696","24.499360118","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=24, Arwnd=106496) "
"697","24.499360328","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=24, Arwnd=106496) "
"698","24.686245098","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"699","24.686245373","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"700","24.719693124","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"701","24.719693303","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"702","24.846855761","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"703","24.846855944","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"704","24.986939106","172.16.0.58","34.120.208.123","TLSv1.2","105","Application Data"
"705","24.987119444","172.16.0.58","34.120.208.123","TLSv1.2","90","Application Data"
"706","24.987119684","172.16.0.58","34.120.208.123","TCP","66","37012  >  443 [FIN, ACK] Seq=64 Ack=1 Win=501 Len=0 TSval=1990392991 TSecr=841855413"
"707","24.991006464","fe80::8a05:be60:de8b:2054","ff02::1:2","DHCPv6","169","Solicit XID: 0xb6bf83 CID: 000100012b51f095a4bb6d5003f5 "
"708","24.991006628","fe80::8a05:be60:de8b:2054","ff02::1:2","DHCPv6","169","Solicit XID: 0xb6bf83 CID: 000100012b51f095a4bb6d5003f5 "
"709","24.993551749","34.120.208.123","172.16.0.58","TCP","66","443  >  37012 [ACK] Seq=1 Ack=64 Win=326 Len=0 TSval=841909420 TSecr=1990392990"
"710","24.993551899","34.120.208.123","172.16.0.58","TCP","66","443  >  37012 [FIN, ACK] Seq=1 Ack=64 Win=326 Len=0 TSval=841909420 TSecr=1990392990"
"711","24.993551979","34.120.208.123","172.16.0.58","TCP","66","443  >  37012 [ACK] Seq=2 Ack=65 Win=326 Len=0 TSval=841909420 TSecr=1990392991"
"712","24.993636079","172.16.0.58","34.120.208.123","TCP","66","37012  >  443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=1990392997 TSecr=841909420"
"713","25.046552844","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=25) "
"714","25.046553109","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=25) (retransmission) "
"715","25.046925709","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=25, Arwnd=106496) DATA (TSN=25) "
"716","25.046925805","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=25, Arwnd=106496) DATA (TSN=25) (retransmission) "
"717","25.248515596","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=25, Arwnd=106496) "
"718","25.248515863","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=25, Arwnd=106496) "
"719","25.265237794","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8001"
"720","25.265596050","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8002"
"721","25.296933293","172.16.0.59","172.16.0.58","SCTP","70","DATA (TSN=25) "
"722","25.296933470","172.16.0.59","172.16.0.58","SCTP","70","DATA (TSN=25) (retransmission) "
"723","25.297288633","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=25, Arwnd=106496) DATA (TSN=25) "
"724","25.297288726","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=25, Arwnd=106496) DATA (TSN=25) (retransmission) "
"725","25.379297230","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"726","25.379297526","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"727","25.390280895","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"728","25.390281052","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"729","25.499331155","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=25, Arwnd=106496) "
"730","25.499331309","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=25, Arwnd=106496) "
"731","25.686116592","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"732","25.686116712","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"733","26.048470382","172.16.0.58","172.16.0.59","SCTP","70","DATA (TSN=26) "
"734","26.048470585","172.16.0.58","172.16.0.59","SCTP","70","DATA (TSN=26) (retransmission) "
"735","26.048821651","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=26, Arwnd=106496) DATA (TSN=26) "
"736","26.048821737","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=26, Arwnd=106496) DATA (TSN=26) (retransmission) "
"737","26.252531257","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=26, Arwnd=106496) "
"738","26.252531502","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=26, Arwnd=106496) "
